Date,Trigger_A,Trigger_B,Trigger_C,Trigger_D,Trigger_E,EFA_buyhold,ACWX_buyhold,SPY_buyhold
2004-01-30,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,,10000.00
2004-02-27,10000.00,10395.85,10395.85,10000.00,10000.00,10229.90,,10135.71
2004-03-31,10000.00,10283.84,10283.84,10000.00,10000.00,10237.13,,10001.45
2004-04-30,10000.00,9548.39,9548.39,10000.00,10000.00,9890.11,,9812.21
2004-05-28,10000.00,9547.38,9555.93,10000.00,10000.00,10002.89,,9980.23
2004-06-30,10000.00,9625.51,9689.16,10000.00,10000.00,10338.35,,10164.88
2004-07-30,10000.00,9303.15,9462.53,10000.00,10000.00,9897.34,,9837.38
2004-08-31,10000.00,9356.35,9762.92,10000.00,10000.00,10015.18,,9861.34
2004-09-30,10000.00,9475.72,10236.15,10000.00,10000.00,10222.67,,9960.32
2004-10-29,10000.00,9892.00,10758.06,10000.00,10000.00,10580.54,,10088.67
2004-11-30,10000.00,10637.61,11568.95,10000.00,10000.00,11223.97,,10537.78
2004-12-31,10000.00,11257.05,12242.62,10000.00,10000.00,11763.49,,10855.19
2005-01-31,10000.00,11009.69,11973.60,10000.00,10000.00,11539.59,,10611.81
2005-02-28,10000.00,11828.38,12863.97,10000.00,10000.00,11976.36,,10833.64
2005-03-31,10000.00,11265.25,12251.54,10000.00,10000.00,11662.18,,10635.46
2005-04-29,10000.00,10869.80,11821.47,10000.00,10000.00,11473.53,,10436.20
2005-05-31,10000.00,11184.91,12164.17,10000.00,10000.00,11374.43,,10772.50
2005-06-30,10000.00,11545.73,12556.57,10000.00,10000.00,11537.39,,10788.82
2005-07-29,10000.00,12159.11,13300.99,10000.00,10000.00,11883.13,,11201.62
2005-08-31,10000.00,12447.33,13616.27,10000.00,10000.00,12339.00,,11096.61
2005-09-30,10000.00,13536.96,14808.23,10000.00,10000.00,12794.86,,11185.66
2005-10-31,10000.00,12962.95,14180.32,10000.00,10000.00,12387.44,,10921.12
2005-11-30,10000.00,13651.33,14933.34,10000.00,10000.00,12673.73,,11401.12
2005-12-30,10000.00,14338.99,15685.58,10000.00,10000.00,13330.56,,11379.31
2006-01-31,10000.00,15937.02,17433.68,10000.00,10000.00,14099.93,,11652.57
2006-02-28,10000.00,15692.11,17165.77,10000.00,10000.00,14001.24,,11719.29
2006-03-31,10000.00,15916.95,17411.73,10000.00,10000.00,14562.00,,11912.71
2006-04-28,10000.00,16857.84,18440.98,10000.00,10000.00,15259.60,,12063.18
2006-05-31,10000.00,15529.05,16987.40,10000.00,10000.00,14676.40,,11699.83
2006-06-30,10000.00,15706.60,17181.62,10000.00,10000.00,14667.42,,11730.34
2006-07-31,10000.00,15932.46,17428.70,10000.00,10000.00,14786.31,,11782.88
2006-08-31,10000.00,16179.30,17744.63,10000.00,10000.00,15163.15,,12040.01
2006-09-29,10000.00,16510.26,18083.87,10000.00,10000.00,15196.79,,12365.11
2006-10-31,10000.00,17309.13,18958.88,10000.00,10000.00,15766.53,,12754.82
2006-11-30,10000.00,18185.74,20072.59,10000.00,10000.00,16251.03,,13008.45
2006-12-29,10000.00,19318.60,21322.99,10000.00,10000.00,16770.61,,13182.38
2007-01-31,10000.00,19403.80,21417.03,10000.00,10000.00,17004.24,,13380.65
2007-02-28,10000.00,18899.28,20860.16,10000.00,10000.00,16983.62,,13118.16
2007-03-30,10000.00,19709.17,21754.09,10000.00,10000.00,17476.07,,13270.18
2007-04-30,10000.00,20622.65,22762.34,10000.00,10000.00,18131.14,,13858.00
2007-05-31,10000.00,21694.04,23944.90,10000.00,10000.00,18559.45,,14328.06
2007-06-29,10043.67,22152.23,24450.62,10043.67,10043.67,18499.89,,14118.57
2007-07-31,10083.81,22524.61,24861.63,10083.81,10083.81,18076.15,,13676.52
2007-08-31,10126.74,22513.72,24849.62,10126.74,10126.74,17961.64,,13852.03
2007-09-28,10145.97,25120.76,27727.15,10145.97,10145.97,18916.76,,14388.30
2007-10-31,10185.90,28019.31,30926.44,10185.90,10185.90,19720.70,,14583.49
2007-11-30,10226.18,25678.72,28343.00,10226.18,10226.18,19006.08,,14018.64
2007-12-31,10250.29,25001.03,27595.00,10250.29,10250.29,18439.46,,13860.78
2008-01-31,10290.58,22630.93,24978.99,10290.58,10290.58,16992.49,,13022.74
2008-02-29,10307.41,22859.97,25259.87,10307.41,10307.41,16818.67,,12686.20
2008-03-31,10331.46,22453.94,24713.52,10331.46,10331.46,16889.14,,12572.76
2008-04-30,10324.71,22960.52,25684.27,10324.71,10324.71,17807.58,10000.00,13172.01
2008-05-30,10334.63,23303.38,26042.23,10334.63,10334.63,18018.98,10078.99,13371.12
2008-06-30,9260.22,22426.54,23334.83,10358.78,9260.22,16435.69,9228.51,12253.61
2008-07-31,9109.82,21992.88,22883.60,10378.21,9277.60,15889.99,8877.66,12143.51
2008-08-29,8948.75,21604.03,22479.00,10386.36,9284.88,15215.04,8440.48,12331.17
2008-09-30,8513.85,21713.84,22593.26,10439.15,9332.08,13475.02,7331.01,11169.90
2008-10-31,8494.05,21663.34,22540.72,10414.87,9310.37,10667.52,5644.75,9324.78
2008-11-28,8489.79,21652.47,22529.40,10409.65,9305.70,9987.79,5249.82,8675.72
2008-12-31,8492.37,21659.06,22536.27,10412.82,9308.53,10873.55,5643.68,8760.71
2009-01-30,8509.06,21701.63,22580.55,10433.28,9326.83,9380.44,4886.78,8041.33
2009-02-27,8508.69,21700.69,22579.57,10432.83,9326.42,8406.03,4416.47,7177.29
2009-03-31,8508.13,21699.26,22578.09,10432.14,9325.81,9111.38,4877.59,7775.24
2009-04-30,8513.33,21712.52,22591.88,10438.52,9331.51,10160.93,5546.31,8547.68
2009-05-29,8514.26,21714.88,24096.91,10439.65,9332.52,11501.34,6336.28,9047.32
2009-06-30,8513.15,21712.04,23681.73,10438.29,9331.30,11339.75,6206.28,9041.40
2009-07-31,8507.76,21698.32,25884.00,10431.69,9325.41,12478.43,6877.18,9715.94
2009-08-31,8513.70,21713.46,25836.62,10438.97,9331.91,13040.34,7069.66,10074.84
2009-09-30,8573.42,21865.77,27448.72,10441.71,9334.36,13535.42,7450.90,10432.06
2009-10-30,8357.94,21316.21,26758.83,10179.27,9099.75,13193.81,7234.12,10231.51
2009-11-30,8820.62,22496.23,28240.15,10742.78,9603.50,13711.17,7585.45,10861.84
2009-12-31,9038.06,23050.80,28936.31,11007.60,9840.24,13808.47,7697.79,11069.31
2010-01-29,8365.38,21335.18,26782.65,10188.33,9107.85,13109.06,7248.08,10667.02
2010-02-26,8637.97,21764.68,27655.38,10520.33,9404.64,13144.03,7342.16,10999.78
2010-03-31,9323.38,23491.67,29849.79,11355.10,10150.88,13983.32,7844.56,11669.44
2010-04-30,9241.71,23285.88,29588.30,11255.62,10061.96,13591.15,7665.80,11849.97
2010-05-28,8210.02,20686.39,26285.25,9999.12,8938.70,12069.92,6875.51,10908.43
2010-06-30,8148.60,20578.83,26148.58,9924.31,8871.83,11821.05,6705.94,10344.02
2010-07-30,8935.99,20569.85,26742.50,10883.29,9729.11,13193.52,7451.90,11050.52
2010-08-31,8713.15,20056.88,26075.60,10611.88,9486.49,12692.82,7161.91,10553.47
2010-09-30,9719.85,21328.55,29088.31,10611.88,10582.53,13958.55,7892.60,11498.57
2010-10-29,10031.35,21659.26,30020.55,10951.98,10921.69,14489.74,8167.32,11937.85
2010-11-30,10015.42,21624.87,29972.88,10934.59,10904.35,13790.80,7875.43,11937.85
2010-12-31,10842.30,23410.24,32447.47,11837.36,11804.62,14936.55,8497.68,12735.92
2011-01-31,10795.77,23309.77,32308.21,11786.55,11753.96,15249.54,8543.99,13032.67
2011-02-28,10842.07,23409.73,32446.77,11837.10,11804.36,15790.87,8821.85,13485.39
2011-03-31,11044.19,23846.13,33051.64,12057.77,12024.42,15413.74,8769.75,13487.01
2011-04-29,11625.07,25100.35,34790.03,12691.96,12656.86,16280.88,9207.76,13877.61
2011-05-31,11332.09,24467.76,33913.24,12372.09,12337.88,15921.71,8927.97,13721.98
2011-06-30,11192.47,24166.29,33495.39,12219.66,12185.86,15728.94,8816.16,13490.49
2011-07-29,10806.07,23336.54,32339.02,11797.79,11765.16,15354.94,8579.32,13220.62
2011-08-31,9842.93,21771.09,29456.65,10746.26,10716.54,14010.63,7823.76,12493.81
2011-09-30,8269.45,21766.35,28010.52,9028.38,9003.41,12496.32,6860.71,11626.48
2011-10-31,8265.84,21756.85,27998.30,9024.44,8999.48,13699.40,7629.97,12895.47
2011-11-30,8180.41,21761.60,28004.41,9026.41,9001.44,13401.25,7465.55,12843.07
2011-12-30,8065.32,21757.80,27999.52,9024.83,8999.87,13109.78,7307.17,12977.26
2012-01-31,8063.56,21753.06,28123.00,9022.86,8997.91,13800.61,7763.75,13579.08
2012-02-29,8065.32,21757.80,28414.98,9024.83,8999.87,14467.60,8144.89,14168.48
2012-03-30,8007.21,21601.03,28070.91,9022.86,8997.91,14528.48,8105.19,14624.20
2012-04-30,7986.42,21544.94,27698.77,9024.83,8999.87,14226.74,7970.20,14526.57
2012-05-31,7986.42,21544.94,26409.37,9024.83,8999.87,12641.29,7084.84,13654.17
2012-06-29,7982.93,21535.54,26397.85,9020.89,8995.94,13531.65,7521.55,14208.26
2012-07-31,7995.74,21570.08,26553.08,9020.89,8995.94,13542.49,7541.78,14376.34
2012-08-31,7981.77,21532.40,26554.14,9020.89,8995.94,13975.85,7697.51,14736.51
2012-09-28,8230.77,21775.30,27783.57,9020.89,8995.94,14355.03,7966.50,15110.10
2012-10-31,8314.27,22028.10,28065.41,9112.40,9087.20,14512.13,8017.06,14835.12
2012-11-30,8505.08,22502.17,28709.53,9321.54,9295.76,14915.70,8209.19,14919.08
2012-12-31,8837.15,23380.74,29830.45,9685.48,9658.70,15569.18,8470.09,15052.38
2013-01-31,9103.63,24085.77,30729.97,9977.54,9949.95,16149.67,8708.74,15822.90
2013-02-28,8958.88,23702.80,30241.35,9818.89,9791.74,15941.57,8605.60,16024.79
2013-03-28,9030.88,23893.29,30484.39,9897.81,9870.43,16149.67,8668.29,16633.27
2013-04-30,9350.72,24739.51,31564.05,10248.35,10220.01,16960.16,8971.66,16952.83
2013-05-31,8903.36,23555.91,30053.94,9758.05,9731.06,16448.12,8696.60,17353.08
2013-06-28,8462.97,22390.75,28567.36,9275.38,9249.72,16007.66,8374.57,17121.52
2013-07-31,9036.40,23029.54,30091.83,9903.86,9876.47,16859.72,8755.15,18006.30
2013-08-30,8863.97,22636.68,29517.60,9714.87,9688.00,16530.07,8615.26,17466.26
2013-09-30,9639.10,24405.76,32098.84,10564.41,10535.20,17823.53,9220.05,18018.99
2013-10-31,10126.58,25640.05,33722.20,11098.70,11068.00,18404.61,9545.08,18853.40
2013-11-29,10187.83,25795.13,33926.17,11165.82,11134.94,18505.18,9563.60,19412.17
2013-12-31,10469.11,26507.31,34862.83,11474.10,11442.37,18907.89,9722.56,19915.45
2014-01-31,10049.99,25446.12,33467.15,11014.75,10984.29,17924.45,9133.00,19213.47
2014-02-28,10655.35,26978.85,35483.01,11678.22,11645.92,19023.42,9651.73,20087.99
2014-03-31,10710.94,27119.60,35668.13,11739.14,11706.68,18936.06,9701.73,20254.63
2014-04-30,10969.89,27775.27,36530.47,12022.96,11989.71,19251.66,9864.22,20395.43
2014-05-30,11034.51,27938.86,36745.64,12093.77,12060.33,19558.81,10030.88,20868.73
2014-06-30,11032.74,27934.38,36739.75,12091.83,12058.39,19738.90,10193.75,21299.57
2014-07-31,10617.86,26883.93,35358.17,11637.13,11604.94,19225.00,10036.66,21013.35
2014-08-29,10662.66,26997.36,35507.36,11686.23,11653.91,19259.65,10142.80,21842.61
2014-09-30,9926.70,25201.56,33056.56,10879.62,10849.53,18511.90,9654.55,21541.27
2014-10-31,9885.65,25391.73,33306.00,10834.63,10804.67,18462.82,9633.32,22048.58
2014-11-28,9892.51,25331.15,33226.54,10842.15,10812.16,18474.36,9624.83,22654.30
2014-12-31,9560.86,24999.20,32577.64,10478.66,10809.80,17736.72,9232.33,22596.83
2015-01-30,9617.30,25219.07,33159.19,10476.37,10807.44,17847.51,9200.13,21927.30
2015-02-27,10002.65,25592.98,33899.06,10476.37,10807.44,18978.64,9710.90,23159.72
2015-03-31,9914.34,25538.07,33780.73,10383.87,10807.44,18707.52,9592.86,22795.98
2015-04-30,10240.08,26377.15,35050.43,10381.60,10805.08,19389.71,10052.12,23020.16
2015-05-29,10266.63,26295.99,34667.81,10327.14,10802.71,19427.60,9938.38,23316.10
2015-06-30,9987.33,25600.64,33751.09,10327.14,10802.71,18821.80,9624.04,22842.50
2015-07-31,9747.34,24985.47,32811.00,10327.14,10802.71,19204.23,9602.26,23358.51
2015-08-31,8999.94,23814.97,30495.07,10327.14,10802.71,17778.29,8887.75,21934.80
2015-09-30,8923.37,23804.55,30481.73,10322.62,10797.99,16992.69,8506.54,21375.11
2015-10-30,8921.42,23799.33,30475.05,10320.36,10795.62,18116.25,9064.20,23193.27
2015-11-30,8833.67,23804.55,30296.85,10156.42,10797.99,17979.88,8946.57,23278.05
2015-12-31,8814.56,23799.33,30231.30,10154.19,10795.62,17560.61,8696.56,22875.74
2016-01-29,8473.80,23804.55,30016.06,10156.42,10797.99,16591.66,8213.54,21736.84
2016-02-29,8473.80,23804.55,30016.06,10156.42,10797.99,16038.41,8011.55,21718.88
2016-03-31,8473.80,23804.55,30016.06,10156.42,10797.99,17094.08,8668.02,23179.83
2016-04-29,8477.51,23814.97,29856.43,10160.86,10802.71,17473.88,8887.57,23271.19
2016-05-31,8477.51,23814.97,29270.89,10160.86,10802.71,17458.93,8779.99,23667.07
2016-06-30,8475.65,23809.75,29225.44,10158.64,10800.35,17036.53,8711.15,23749.33
2016-07-29,8479.37,23820.18,30906.85,10163.09,10805.08,17714.08,9073.37,24615.49
2016-08-31,8469.10,23791.33,30898.37,10163.09,10805.08,17808.69,9138.21,24644.97
2016-09-30,8677.92,24377.95,31660.24,10413.68,11071.50,18046.75,9274.60,24646.40
2016-10-31,8702.42,24446.78,31749.62,10443.08,11102.76,17646.94,9111.38,24219.11
2016-11-30,8487.74,23843.72,30966.41,10438.52,11097.91,17332.57,8925.80,25111.30
2016-12-30,8367.64,23506.33,30528.24,10440.81,11100.34,17801.64,9091.41,25620.35
2017-01-31,8856.12,24878.56,32310.38,10445.37,11748.34,18387.53,9439.08,26078.82
2017-02-28,9041.86,25400.33,32988.02,10664.44,11994.74,18606.46,9547.45,27103.49
2017-03-31,9276.20,26058.63,33842.98,10940.84,12305.61,19207.76,9847.71,27137.38
2017-04-28,9375.22,26336.80,34204.23,11057.62,12436.96,19673.39,10059.93,27406.75
2017-05-31,9510.56,26717.01,34698.03,11217.26,12616.51,20370.28,10369.22,27793.53
2017-06-30,9522.95,26751.80,34743.20,11231.86,12632.94,20430.58,10443.49,27970.71
2017-07-31,9843.47,27652.20,35912.58,11609.90,13058.13,20972.69,10810.01,28545.63
2017-08-31,9931.10,27898.39,36232.32,11713.27,13174.39,20963.28,10855.82,28628.92
2017-09-29,10053.32,28241.73,36678.21,11857.42,13336.52,21458.39,11075.73,29205.77
2017-10-31,10218.19,28704.86,37279.70,12051.87,13555.23,21818.73,11288.77,29893.98
2017-11-30,10194.95,28639.60,37194.94,12024.47,13524.41,21969.15,11336.88,30807.72
2017-12-29,10284.63,28891.51,37522.10,12130.23,13643.37,22265.47,11564.35,31181.35
2018-01-31,11021.70,30962.08,40211.20,12999.57,14621.15,23383.34,12196.39,32938.71
2018-02-28,10251.95,28799.72,37402.89,12091.69,13600.02,22252.81,11580.55,31741.04
2018-03-29,10280.57,28928.04,37507.29,12125.44,13637.98,22065.98,11504.15,30871.00
2018-04-30,10336.40,29085.15,37710.98,12191.29,13712.05,22401.65,11568.98,31030.55
2018-05-31,9839.43,27686.73,35897.84,11605.14,13052.77,21977.31,11353.66,31784.87
2018-06-29,9608.59,27120.02,35163.06,11332.87,12746.54,21629.16,11105.46,31967.66
2018-07-31,9794.75,27157.68,35668.17,11552.44,12993.50,22246.03,11422.76,33151.96
2018-08-31,9606.33,27200.74,35133.78,11330.21,12743.55,21748.65,11159.52,34210.16
2018-09-28,9511.60,26803.80,34787.34,11218.48,12617.89,21958.59,11208.88,34413.55
2018-10-31,8649.61,25412.82,32371.15,10201.81,11474.39,20172.58,10315.75,32035.44
2018-11-30,8652.63,25460.07,32382.43,10220.78,11495.73,20272.69,10463.82,32629.67
2018-12-31,8634.76,25407.49,32344.30,10239.45,11516.73,19188.16,9951.35,29756.68
2019-01-31,8649.86,25451.94,33260.08,10257.36,11536.88,20461.27,10700.78,32139.16
2019-02-28,8665.86,25302.34,33404.65,10276.33,11558.21,20980.31,10869.17,33180.98
2019-03-29,8684.11,25389.21,33447.25,10294.31,11578.43,21172.91,10973.52,33781.57
2019-04-30,8795.18,25601.52,34195.46,10314.13,11600.72,21793.15,11281.83,35161.63
2019-05-31,8670.50,24964.39,33324.13,10336.01,11625.33,20696.31,10648.61,32919.32
2019-06-28,8892.79,25604.41,34178.48,10354.78,11646.44,21919.80,11282.60,35210.06
2019-07-31,8715.74,25094.66,33498.03,10373.46,11667.45,21492.94,11087.15,35742.43
2019-08-30,8492.64,24741.15,32879.32,10391.04,11687.23,21079.43,10821.74,35143.98
2019-09-30,8571.44,24965.34,33506.91,10407.85,11706.14,21746.39,11111.28,35827.81
2019-10-31,8781.24,25467.39,34643.19,10424.59,11724.96,22483.39,11453.91,36619.77
2019-11-29,8750.13,25441.71,34520.45,10387.65,11683.42,22736.84,11567.31,37945.33
2019-12-31,9070.27,26372.53,35783.43,10767.70,12110.87,23417.89,12046.28,39047.86
2020-01-31,8758.02,25464.65,34551.57,10397.02,11693.95,22756.91,11634.28,39032.10
2020-02-28,8177.73,23777.40,32262.25,9708.13,10919.13,20989.77,10859.31,35942.08
2020-03-31,7693.16,21654.84,31454.67,9727.98,10941.46,18028.81,9233.36,31453.95
2020-04-30,7739.11,21650.59,31448.50,9726.07,10939.31,19077.62,9821.94,35448.09
2020-05-29,7785.49,21646.81,31461.98,9724.37,10937.40,20112.95,10273.18,37137.02
2020-06-30,7912.79,21646.81,31976.43,9724.37,10937.40,20819.15,10729.28,37795.63
2020-07-31,8069.79,21649.17,33304.17,9725.44,10938.60,21222.74,11161.03,40021.49
2020-08-31,8366.85,22236.04,34774.03,9725.44,10938.60,22224.88,11625.04,42814.85
2020-09-30,8292.50,22038.45,34465.01,9639.01,10841.39,21769.98,11411.64,41211.71
2020-10-30,8146.89,21651.48,33859.85,9640.07,10842.58,20997.01,11178.40,40184.16
2020-11-30,8771.10,23310.39,36423.03,9639.01,10841.39,23993.16,12587.79,44555.27
2020-12-31,9387.16,24947.65,38981.28,10316.03,11602.86,25196.51,13285.61,46205.97
2021-01-29,9480.91,25196.81,39370.60,10419.06,11718.74,24999.67,13323.19,45735.11
2021-02-26,9728.58,25855.02,40399.07,10691.23,12024.87,25559.13,13586.19,47006.79
2021-03-31,9846.59,26168.64,40889.11,10820.92,12170.73,26201.47,13821.65,49140.87
2021-04-30,10157.08,26993.82,42178.46,11162.14,12554.51,26975.05,14174.83,51740.93
2021-05-28,10545.43,28025.92,43791.14,11588.91,13034.53,27914.39,14613.17,52080.67
2021-06-30,10536.31,28001.69,43753.28,11578.90,13023.26,27613.47,14557.90,53248.71
2021-07-30,10408.88,27663.01,43224.09,11438.85,12865.74,27827.01,14317.42,54548.64
2021-08-31,10634.15,28261.69,44159.54,11686.41,13144.18,28229.59,14525.00,56172.00
2021-09-30,10219.16,27440.09,42436.27,11230.36,12631.25,27308.91,14026.31,53554.07
2021-10-29,10596.28,28452.70,44002.28,11644.79,13097.37,28177.08,14446.52,57311.62
2021-11-30,10207.18,27299.32,42386.52,11217.20,12616.44,26899.33,13841.52,56851.13
2021-12-31,10855.15,27890.24,44276.50,11929.28,13417.35,28080.46,14304.51,59480.37
2022-01-31,10639.23,27335.48,43395.80,11691.99,13150.47,27059.75,13939.18,56343.31
2022-02-28,10380.70,26671.23,42341.28,11407.88,12830.91,26131.82,13473.51,54680.21
2022-03-31,10829.15,27095.13,44170.47,11900.71,13385.22,26267.44,13447.78,56735.67
2022-04-29,10058.19,25246.48,41025.83,11053.46,12432.28,24497.24,12547.32,51756.04
2022-05-31,10105.74,25446.21,41493.28,11057.09,12436.36,24986.19,12773.72,51872.86
2022-06-30,9712.56,24456.18,38092.29,11065.68,12446.03,22795.74,11776.85,47595.39
2022-07-29,9716.06,24465.00,38106.03,11069.67,12450.52,23974.01,12174.65,51978.34
2022-08-31,9743.25,24512.39,38212.66,11091.12,12474.63,22507.55,11585.81,49857.51
2022-09-30,9763.39,24563.07,38291.67,11114.05,12500.42,20431.90,10470.93,45248.39
2022-10-31,9919.76,24602.02,38352.39,11131.67,12520.25,21635.70,10839.94,48925.98
2022-11-30,9983.79,24760.82,38599.94,11166.75,12559.71,24484.71,12289.80,51645.86
2022-12-30,9762.89,24612.23,37403.94,11207.25,12605.25,24040.83,12005.95,48669.59
2023-01-31,9904.85,25543.16,40590.80,11239.10,12641.08,26205.39,13077.25,51730.30
2023-02-28,9689.70,24932.26,39478.48,11277.96,12684.78,25399.63,12486.19,50429.66
2023-03-31,9842.78,25326.15,40295.46,11322.97,12735.41,26194.40,12868.80,52299.48
2023-04-28,10089.81,25961.77,41577.68,11364.08,12781.65,26963.53,13108.92,53134.96
2023-05-31,9592.59,24682.39,39528.75,10804.07,12829.60,25883.08,12618.13,53380.24
2023-06-30,10158.79,26139.25,41861.91,11441.77,12888.69,27040.07,13200.22,56839.27
2023-07-31,10485.07,26978.80,43206.44,11809.26,13302.66,27771.08,13717.82,58699.81
2023-08-31,9996.82,25722.49,41194.48,11259.34,12683.20,26678.29,13066.12,57745.82
2023-09-29,9516.48,24486.56,39215.14,10718.35,12073.79,25704.85,12607.52,55006.67
2023-10-31,9139.09,24266.90,37660.00,10293.29,11594.98,24958.92,12213.28,53812.55
2023-11-30,9960.55,24578.90,40019.11,11218.49,12637.18,27010.23,13224.35,58728.00
2023-12-29,10455.13,25799.34,42006.22,11775.54,13264.67,28455.55,13882.67,61409.25
2024-01-31,10178.13,25115.82,40893.31,11463.56,12913.24,28327.15,13643.32,62387.28
2024-02-29,10385.89,25628.49,41728.04,11697.56,13176.83,29173.07,14056.75,65643.08
2024-03-28,10728.31,26473.45,43103.80,12083.22,13611.26,30158.73,14521.87,67789.73
2024-04-30,10375.05,25601.74,41684.49,11685.35,13163.08,29180.62,14168.27,65056.47
2024-05-31,10654.31,26290.83,42806.46,11999.87,13517.37,30657.22,14728.58,68347.01
2024-06-28,10611.62,26185.50,42634.96,11951.79,13463.21,30097.19,14662.73,70758.30
2024-07-31,10897.34,26890.54,43782.90,12273.59,13825.71,30877.19,14980.11,71615.11
2024-08-30,11195.41,27626.08,44980.50,12609.31,14203.89,31883.88,15385.80,73288.45
2024-09-30,11352.53,28013.78,45611.74,12786.27,14403.22,32133.64,15791.49,74827.85
2024-10-31,10945.28,27008.84,43975.51,12327.59,13886.53,30439.16,15057.38,74160.12
2024-11-29,10893.57,26881.24,43767.76,12269.35,13820.93,30343.10,15015.99,78582.54
2024-12-31,10594.40,26143.02,42565.79,11932.40,13441.37,29447.93,14600.90,76691.83
2025-01-31,10914.05,27043.08,43973.57,11974.17,13846.92,30861.71,15110.36,78751.50
2025-02-28,11422.81,28364.28,46023.42,12532.35,14492.40,31773.07,15485.46,77751.76
2025-03-31,11540.11,28934.34,46496.00,12661.03,14641.21,31831.49,15521.85,73419.50
2025-04-30,11834.38,29532.72,47681.64,12983.89,14691.02,33007.69,15941.74,72782.93
2025-05-30,12467.78,31113.37,50233.66,13678.81,15477.32,34588.95,16649.95,77356.98
2025-06-30,12934.29,32277.55,52113.27,14190.64,16056.43,35417.77,17301.14,81332.06
2025-07-31,13032.53,32522.71,52509.08,14298.42,16178.39,34676.85,17108.08,83205.26
2025-08-29,13594.94,33926.21,54775.08,14915.46,16876.56,36245.87,17812.16,84912.59
2025-09-30,14103.28,35194.77,56823.23,15473.18,17507.60,36994.71,18456.63,87937.21
2025-10-31,14395.52,35924.05,58000.67,15793.80,17870.38,37438.48,18837.06,90033.41
2025-11-28,14509.22,36207.79,58458.78,15918.54,18011.53,37715.83,18876.80,90208.96
2025-12-31,14858.00,37078.19,59864.07,16301.21,18444.51,38738.11,19360.00,90280.91
2026-01-30,16135.04,40265.03,65009.35,17702.29,20029.80,40638.10,20412.64,91611.45
2026-02-27,17402.38,43427.70,70115.58,19092.73,21603.06,42509.86,21471.05,90819.74
