Date,SPY,CRDBX,SGOV,DBMF,KMLM,ARB,CAOS
2023-04-27,+1.9908%,+0.0000%,+0.0298%,+0.7395%,+0.4870%,+0.0897%,+1.2387%
2023-05-01,-0.1010%,-0.1433%,+0.0119%,+0.9789%,+0.0000%,+0.0742%,+0.0727%
2023-05-05,+1.8513%,+0.0000%,+0.0100%,+0.5295%,-0.1284%,+0.1428%,+1.2521%
2023-05-08,+0.0267%,+0.0734%,+0.0100%,+0.0752%,-0.4499%,-0.3962%,+0.0563%
2023-05-09,-0.4385%,+0.0000%,+0.0100%,+0.4511%,-0.1937%,+0.2625%,-0.1955%
2023-05-10,+0.4672%,+0.0000%,+0.0199%,-0.8608%,+0.0323%,-0.1904%,+0.2420%
2023-05-11,-0.1744%,+0.0000%,+0.0598%,-0.2265%,-0.2910%,-0.4293%,-0.0575%
2023-05-12,-0.1310%,+0.0000%,+0.0199%,+0.5675%,+0.4864%,-0.0080%,-0.0460%
2023-05-15,+0.3450%,+0.0734%,-0.0100%,+0.6396%,-0.9035%,+0.1078%,+0.1599%
2023-05-16,-0.6683%,+0.0000%,+0.0299%,-0.5234%,+0.1954%,-0.9412%,-0.3102%
2023-05-17,+1.2139%,+0.0000%,+0.0100%,+0.3382%,+0.0000%,-0.0765%,+0.6224%
2023-05-18,+0.9633%,+0.0000%,+0.0299%,+0.0374%,-0.1950%,-0.0403%,+0.4544%
2023-05-19,-0.1455%,+0.0000%,+0.0100%,+0.2246%,+0.8466%,-0.1773%,-0.0355%
2023-05-22,+0.0406%,+0.0733%,+0.0100%,+0.2241%,+0.1937%,-0.2261%,+0.0558%
2023-05-23,-1.1223%,+0.0000%,+0.0199%,-0.2236%,-0.3867%,+0.4856%,-0.4890%
2023-05-24,-0.7245%,+0.0000%,+0.0000%,-0.6350%,-0.2265%,-0.0805%,-0.4074%
2023-05-25,+0.8660%,+0.0000%,+0.0597%,+0.4135%,+1.0376%,+0.0000%,+0.4717%
2023-05-26,+1.2951%,+0.0000%,+0.0298%,+0.4118%,-0.0963%,-0.2056%,+0.6679%
2023-05-30,+0.0381%,+0.0733%,+0.0199%,+0.1491%,+1.0280%,+0.0444%,-0.0051%
2023-06-07,-0.3458%,+0.0000%,+0.0100%,+0.3371%,-0.0324%,+0.2404%,-0.0864%
2023-06-08,+0.6049%,+0.0000%,+0.0399%,-0.2613%,+0.2918%,-0.0600%,+0.2706%
2023-06-12,+0.9072%,+0.0711%,+0.0199%,+0.5961%,+0.6131%,+0.1843%,+0.1898%
2023-06-13,+0.6593%,+0.0000%,+0.0100%,+0.2963%,-0.0321%,+0.3079%,+0.1483%
2023-06-14,+0.1191%,+0.0000%,+0.0199%,-0.3693%,+0.1604%,-0.2153%,+0.0436%
2023-06-15,+1.2398%,+0.0000%,+0.0498%,+0.3336%,-2.0500%,+0.3636%,+0.1468%
2023-06-16,-0.3394%,+0.0000%,+0.0000%,+0.9605%,-0.7194%,+0.5693%,+0.0745%
2023-06-20,-0.5188%,+0.0711%,+0.0299%,-0.3293%,-0.0659%,-0.0554%,-0.0509%
2023-06-21,-0.5124%,+0.0000%,+0.0100%,+0.1836%,-1.0877%,+0.2020%,+0.0248%
2023-06-22,+0.3610%,+0.0000%,+0.0398%,+0.7695%,+1.2329%,-0.2490%,+0.1241%
2023-06-23,-0.7560%,+0.0000%,+0.0199%,+0.0000%,-1.1521%,-0.0991%,-0.1761%
2023-06-26,-0.4086%,+0.0710%,+0.0099%,+0.1091%,-0.5328%,+0.1507%,-0.0845%
2023-06-27,+1.0963%,+0.0000%,+0.0099%,+0.3269%,+1.2722%,+0.5465%,+0.2784%
2023-06-28,+0.0504%,+0.0000%,+0.0298%,+0.2896%,+0.0000%,-0.1103%,-0.0087%
2023-06-30,+1.1801%,+0.0000%,+0.0000%,-0.2887%,+0.0263%,+0.2519%,+0.1882%
2023-07-03,+0.1151%,+2.0451%,+0.0467%,+0.1448%,+0.7943%,-0.1845%,-0.0111%
2023-07-05,-0.1487%,-0.2764%,+0.0100%,+0.0361%,+0.1628%,+0.1731%,+0.0482%
2023-07-11,+0.6369%,+0.0000%,+0.0100%,-0.0729%,-0.1603%,+0.2704%,+0.1890%
2023-07-13,+0.7937%,+0.0000%,+0.0399%,-0.2947%,-0.2899%,+0.0782%,+0.0862%
2023-07-17,+0.3472%,+0.0000%,+0.0199%,+0.2567%,+0.0642%,+0.1993%,+0.0479%
2023-07-20,-0.6634%,+0.0000%,+0.0398%,+0.3656%,-0.0327%,-0.2341%,+0.0689%
2023-07-21,+0.0000%,+0.0000%,+0.0100%,+0.1093%,+0.5561%,-0.1877%,+0.0602%
2023-07-24,+0.4467%,+0.0000%,+0.0199%,-0.0364%,-1.3338%,+0.0235%,+0.0196%
2023-07-25,+0.2730%,+0.0693%,+0.0099%,-0.2184%,-0.0033%,-0.2272%,+0.0246%
2023-07-26,+0.0154%,+0.0000%,+0.0199%,+0.1459%,+1.1243%,+0.1571%,+0.1718%
2023-09-21,-1.6528%,+0.0000%,+0.0298%,+0.6365%,+0.8074%,+0.0421%,-0.5736%
2023-09-27,+0.0399%,+0.0000%,+0.0298%,+0.8717%,+0.7711%,-0.1067%,-0.0062%
2023-11-01,+1.0665%,+0.0000%,+0.0169%,-1.0420%,-0.5564%,+0.0534%,+0.4489%
2023-11-02,+1.9164%,+0.0000%,+0.0399%,-0.7722%,-0.8393%,-0.0914%,+0.4201%
2023-11-03,+0.9123%,+0.0000%,+0.0100%,-1.2734%,-2.3511%,+0.2097%,+0.1576%
2023-11-06,+0.2300%,+0.0887%,+0.0199%,+0.5016%,+1.3162%,+0.2092%,-0.0061%
2023-11-08,+0.0732%,+0.1765%,+0.0199%,-0.2145%,-0.7985%,-0.0495%,-0.0109%
2023-11-14,+1.9401%,+0.0000%,+0.0398%,-2.3017%,-2.9319%,+0.3243%,+0.0544%
2023-11-22,+0.3861%,+0.0000%,+0.0398%,+0.8391%,+0.0647%,+0.1136%,+0.0580%
2023-11-29,-0.0703%,+0.0000%,+0.0298%,-0.5136%,-0.6718%,-0.1322%,-0.0290%
2023-11-30,+0.3937%,+0.0000%,+0.0298%,+0.6268%,-0.0657%,+0.0303%,+0.0580%
2023-12-01,+0.5916%,+0.0000%,+0.0328%,-1.3925%,-2.3653%,-0.0567%,+0.0615%
2023-12-04,-0.5249%,+0.0864%,+0.0100%,+0.7432%,+0.7066%,+0.1400%,-0.0145%
2023-12-05,-0.0197%,-0.0864%,+0.0199%,-0.8115%,-1.3699%,+0.0567%,-0.0133%
2024-01-10,+0.5655%,+0.0000%,+0.0199%,+0.9210%,+0.4538%,+0.0037%,+0.1291%
2024-01-16,-0.3671%,+0.0000%,+0.0100%,+0.6133%,-0.6923%,-0.2690%,-0.0060%
2024-01-25,+0.5439%,+0.0000%,+0.0497%,+0.0758%,+0.7115%,+0.1571%,+0.0756%
2024-02-07,+0.8340%,+0.0000%,+0.0199%,+0.0749%,+0.6618%,+0.1353%,-0.0299%
2024-02-09,+0.5779%,+0.0000%,+0.0299%,+0.2984%,+0.4472%,+0.1760%,-0.0012%
2024-02-12,-0.0439%,+0.0000%,+0.0000%,-0.1859%,+0.2397%,+0.0561%,+0.0120%
2024-02-13,-1.3773%,+0.0781%,+0.0199%,-0.5589%,+0.2904%,-0.1643%,+0.1928%
2024-02-14,+0.9088%,+0.0000%,+0.0199%,+0.5620%,+0.0341%,+0.1796%,-0.0968%
2024-02-15,+0.6900%,+0.0000%,+0.0498%,+0.6334%,+0.6300%,+0.1270%,+0.0084%
2024-02-16,-0.4980%,+0.0000%,+0.0100%,-0.2221%,+0.1015%,-0.1939%,+0.0239%
2024-02-20,-0.5505%,+0.0781%,+0.0199%,-0.7421%,-1.1156%,-0.1869%,-0.0658%
2024-02-21,+0.0906%,+0.0000%,+0.0099%,+0.5607%,-0.4444%,+0.2995%,+0.0419%
2024-02-22,+2.0695%,+0.0000%,+0.0398%,+0.9665%,+0.5838%,+0.0560%,+0.2165%
2024-02-23,+0.0690%,+0.0000%,+0.0298%,+0.2577%,+0.3073%,+0.1045%,+0.0334%
2024-02-26,-0.3663%,+0.0780%,+0.0099%,-0.0735%,+0.0681%,+0.0335%,-0.0418%
2024-02-27,+0.1858%,+0.0000%,+0.0199%,+0.3308%,-0.3401%,-0.0074%,-0.0477%
2024-02-28,-0.1322%,+0.0000%,+0.0099%,-0.2198%,-0.6485%,+0.1118%,+0.0943%
2024-02-29,+0.3595%,+0.0000%,+0.0298%,+0.4038%,+0.3435%,+0.2233%,-0.0036%
2024-03-01,+0.9388%,+0.0000%,+0.0298%,+0.8044%,+0.7532%,+0.4085%,+0.0465%
2024-03-04,-0.1072%,+0.0000%,+0.0100%,+0.2176%,-0.3058%,+0.1849%,+0.0095%
2024-03-05,-0.9994%,+0.0779%,+0.0100%,-0.9048%,-0.4772%,-0.1735%,+0.0560%
2024-03-06,+0.5067%,+0.0000%,+0.0199%,+0.4018%,-0.2740%,+0.0814%,-0.0560%
2024-03-07,+0.9926%,+0.0000%,+0.0498%,+0.3274%,-0.0343%,+0.1515%,+0.0024%
2024-03-08,-0.6002%,+0.0000%,+0.0100%,-1.1965%,-0.3435%,-0.0922%,+0.0978%
2024-03-11,-0.0860%,+0.0000%,+0.0199%,-0.4771%,+0.1379%,+0.0000%,+0.0512%
2024-03-19,+0.5557%,+0.0000%,+0.0199%,+0.7871%,+0.1675%,+0.0740%,-0.0535%
2024-03-20,+0.9249%,+0.0000%,+0.0099%,+0.7455%,-0.3344%,+0.1626%,+0.1679%
2024-03-21,+0.3305%,+0.0000%,+0.0398%,+0.5990%,-0.2685%,-0.5054%,+0.0333%
2024-03-25,-0.2763%,+0.0772%,+0.0199%,+0.1055%,+0.4330%,+0.1846%,+0.0095%
2024-03-26,-0.1847%,-0.4626%,+0.0099%,-0.2564%,-0.4345%,-0.0037%,+0.0736%
2024-03-27,+0.8404%,+0.0000%,+0.0497%,+0.1416%,+0.6042%,+0.1069%,-0.0237%
2024-03-28,-0.0191%,+0.0000%,+0.0099%,+1.4144%,-0.2669%,+0.0405%,+0.0831%
2024-04-01,-0.1740%,+0.0775%,+0.0298%,+1.0112%,+1.0037%,+0.0368%,-0.0427%
2024-04-10,-1.0013%,+0.0000%,+0.0199%,+1.8998%,+0.8213%,+0.0074%,-0.1758%
2024-04-11,+0.7547%,+0.0000%,+0.0398%,+0.6102%,+0.5213%,+0.0000%,+0.2950%
2024-04-12,-1.3803%,+0.0000%,+0.0100%,-1.3814%,+0.0972%,-0.8112%,-0.5634%
2024-04-15,-1.2528%,+0.0784%,+0.0199%,+1.2641%,+1.4896%,-0.5204%,-0.0561%
2024-04-16,-0.1824%,+0.0000%,+0.0000%,-0.2362%,-0.1914%,+0.0860%,-0.1170%
2024-04-17,-0.5918%,+0.0000%,+0.0298%,-1.5218%,-0.7033%,-0.1979%,-0.1374%
2024-04-18,-0.2058%,+0.0000%,+0.0298%,+0.3434%,+0.4507%,-0.1122%,-0.1376%
2024-04-19,-0.8728%,+0.0000%,+0.0298%,+0.1369%,-0.3141%,-0.0375%,+0.0240%
2024-04-25,-0.3799%,+0.0000%,+0.0497%,+0.0339%,+0.5712%,+0.0562%,-0.0108%
2024-04-29,+0.3541%,+0.0000%,+0.0000%,-1.3903%,-0.9965%,+0.2358%,+0.0144%
2024-04-30,-1.5841%,+0.0000%,+0.0099%,+0.4700%,+1.1039%,-0.3660%,-0.1486%
2024-05-01,-0.3247%,-0.1514%,+0.0377%,-0.9355%,-0.6101%,+0.0112%,-0.0204%
2024-05-02,+0.9353%,+0.1516%,+0.0399%,-1.9562%,-2.3716%,-0.1312%,+0.0264%
2024-05-03,+1.2395%,+0.0000%,+0.0199%,-0.3096%,-1.8070%,+0.4128%,+0.2377%
2024-05-06,+1.0327%,+0.0757%,+0.0100%,+0.6211%,-0.4045%,+0.1158%,+0.1509%
2024-05-07,+0.1103%,+0.0000%,+0.0000%,+0.5830%,-0.1692%,+0.0858%,+0.1483%
2024-05-08,+0.0097%,+0.0000%,+0.0299%,+0.4091%,+1.1186%,+0.0783%,+0.0000%
2024-05-10,+0.1288%,+0.1499%,+0.0299%,-0.0676%,+0.3202%,+0.1267%,+0.0714%
2024-05-13,+0.0134%,+0.0749%,+0.0100%,+0.4057%,-0.1008%,-0.1266%,-0.0083%
2024-05-23,-0.7304%,+0.0000%,+0.0696%,-0.2358%,+0.1031%,-0.0373%,+0.0546%
2024-05-24,+0.6616%,+0.0000%,+0.0099%,+0.2026%,+0.3432%,+0.1716%,+0.0664%
2024-05-28,+0.0699%,+0.0730%,+0.0099%,+1.0782%,+0.6840%,-0.3017%,-0.0225%
2024-05-29,-0.7003%,+0.0000%,+0.0000%,-0.3000%,+1.6644%,+0.2241%,-0.0427%
2024-06-25,+0.3851%,+0.0000%,+0.0199%,-0.2327%,+0.7340%,-0.3877%,+0.0471%
2024-07-05,+0.5766%,+0.0000%,+0.0399%,-0.1313%,+0.7521%,+0.0370%,+0.0904%
2024-07-10,+0.9895%,+0.0000%,+0.0199%,+0.5921%,+0.6757%,+0.1628%,+0.0610%
2024-07-11,-0.8623%,+0.0000%,+0.0199%,-1.3734%,-0.3356%,+0.4654%,+0.0270%
2024-07-12,+0.6308%,+0.0000%,+0.0498%,-0.1989%,+0.1852%,-0.3529%,-0.0094%
2024-07-15,+0.2750%,+0.0000%,+0.0000%,+0.0664%,+0.7898%,+0.3911%,-0.0199%
2024-08-13,+1.6446%,+0.0000%,+0.0199%,+0.4732%,+0.7581%,+0.1825%,+0.0234%
2024-08-14,+0.3155%,+0.0000%,+0.0199%,+0.0725%,-0.0342%,+0.0036%,+0.0058%
2024-08-16,+0.2242%,+0.0000%,+0.0398%,+0.3583%,+0.2731%,+0.1564%,+0.0128%
2024-08-19,+0.9561%,+0.0000%,+0.0099%,+0.3213%,+0.2383%,-0.1744%,-0.0023%
2024-08-20,-0.1626%,+0.0000%,+0.0099%,-0.5338%,+0.5095%,+0.2438%,+0.0548%
2024-08-21,+0.3437%,+0.0000%,+0.0298%,-0.0716%,+0.4055%,+0.2396%,-0.0093%
2024-08-22,-0.7848%,+0.0746%,+0.0000%,+0.1074%,-0.0673%,-0.1666%,+0.0595%
2024-08-23,+1.0625%,+0.0000%,+0.0398%,-0.1431%,-0.1684%,-0.0181%,-0.0420%
2024-08-26,-0.2384%,+0.0000%,+0.0199%,+0.1075%,-0.6073%,+0.1560%,+0.0268%
2024-08-27,+0.1373%,+0.0000%,+0.0099%,-0.2147%,-0.3394%,-0.0109%,-0.0676%
2024-08-28,-0.5805%,+0.0000%,+0.0099%,-0.0359%,+0.0341%,-0.0725%,+0.0793%
2024-08-29,+0.0090%,+0.0746%,+0.0099%,+0.3228%,-0.6810%,+0.0761%,-0.0326%
2024-08-30,+0.9546%,+0.0000%,+0.0497%,+0.2860%,-0.1714%,+0.0507%,+0.0326%
2024-09-03,-2.0579%,+0.0000%,+0.0437%,-0.7130%,+0.5151%,+0.1448%,+0.2518%
2024-09-19,+1.7064%,+0.0000%,+0.0199%,+1.0036%,-0.1520%,+0.3601%,-0.1040%
2024-09-20,-0.1723%,+0.0000%,+0.0398%,+0.3549%,-0.7610%,-0.0502%,-0.0613%
2024-09-23,+0.2499%,+0.0725%,+0.0298%,+0.0000%,-0.2386%,-0.1185%,+0.0035%
2024-09-24,+0.2861%,+0.0000%,+0.0099%,+0.5658%,+0.0342%,-0.0216%,+0.0463%
2024-09-25,-0.2206%,+0.0000%,+0.0000%,-0.1407%,-0.9221%,-0.0611%,+0.0116%
2024-12-18,-2.9803%,+0.0000%,+0.0219%,-0.8840%,+1.2816%,-0.2916%,+0.4164%
2024-12-19,-0.0307%,+0.0000%,+0.0200%,-0.2601%,+0.4921%,-0.1241%,+0.2936%
2024-12-20,+1.1971%,+0.0000%,+0.0200%,+0.0745%,-1.3641%,-0.3034%,-0.4488%
2024-12-23,+0.5988%,+0.0745%,+0.0200%,+0.2606%,+0.8156%,+0.5353%,-0.0240%
2024-12-26,+0.0067%,-0.0732%,+0.0100%,-0.2590%,+0.1057%,+0.0655%,-0.0229%
2025-03-18,-1.0808%,+0.0000%,+0.0100%,+0.2750%,+0.0000%,+0.3204%,-0.0182%
2025-03-19,+1.0891%,+0.0000%,+0.0199%,+0.0392%,+0.5141%,-0.2129%,+0.1365%
2025-03-24,+1.7909%,+0.0000%,+0.0199%,+0.1179%,-0.0366%,-0.0107%,-0.0909%
2025-03-25,+0.2404%,+0.0000%,+0.0099%,+0.1570%,+0.2195%,-0.0639%,+0.1194%
2025-03-26,-1.1938%,+0.0000%,+0.0199%,+0.0392%,-0.0511%,-0.0853%,-0.0511%
2025-03-27,-0.2656%,+0.0000%,+0.0099%,+0.3094%,+0.0511%,+0.1743%,+0.2160%
2025-03-28,-2.0138%,+0.0000%,+0.0298%,-0.3932%,+0.1460%,+0.1065%,-0.0454%
2025-03-31,+0.6713%,+0.0820%,+0.0000%,-0.2764%,-0.5831%,+0.1809%,-0.1906%
2025-04-01,+0.2824%,+0.0000%,+0.0258%,+0.1979%,-0.4032%,-0.2125%,+0.1001%
2025-04-02,+0.6328%,+0.0000%,+0.0100%,-0.2766%,+0.0736%,+0.1419%,-0.1136%
2025-04-03,-4.9281%,+0.0000%,+0.0199%,-0.9509%,-1.1034%,-0.1772%,+0.8415%
2025-04-04,-5.8543%,+0.0000%,+0.0299%,-1.2000%,-0.0744%,-1.0295%,+1.9734%
2025-04-07,-0.1781%,-0.6557%,+0.0100%,-0.2024%,-0.2977%,+0.0538%,+0.0663%
2025-04-16,-2.2228%,+0.0000%,+0.0199%,+0.3591%,-0.4920%,+0.1634%,+0.3700%
2025-04-22,+2.6018%,+0.1468%,+0.0099%,+0.6770%,-0.0762%,+0.2243%,-0.3243%
2025-04-23,+1.5495%,+0.0000%,+0.0298%,-0.1187%,+0.0763%,+0.0249%,-0.3703%
2025-04-24,+2.1049%,+0.0000%,+0.0000%,+0.3168%,-0.5333%,+0.0923%,-0.1352%
2025-04-25,+0.7225%,+0.0000%,+0.0398%,+0.4737%,-0.1915%,-0.0710%,+0.0677%
2025-04-28,+0.0381%,+0.0000%,+0.0000%,-0.5108%,+0.9977%,+0.0533%,-0.1691%
2025-04-29,+0.6299%,+0.0000%,+0.0099%,-0.2765%,+0.4179%,-0.2165%,-0.0113%
2025-04-30,+0.0397%,+0.0733%,+0.0298%,+0.0396%,-0.4162%,+0.1067%,+0.0565%
2025-05-01,+0.7087%,+0.0000%,+0.0149%,-0.6730%,-0.4559%,-0.0355%,-0.0508%
2025-05-02,+1.4844%,+0.0000%,+0.0299%,-0.1196%,+0.8015%,+0.0711%,-0.0564%
2025-05-06,-0.8358%,+0.0000%,+0.0000%,+1.0350%,+0.0000%,+0.0854%,+0.1017%
2025-05-07,+0.4206%,+0.0000%,+0.0100%,-0.3546%,-0.0378%,+0.0391%,+0.0000%
2025-05-08,+0.6968%,+0.0740%,+0.0299%,-0.3559%,-0.5671%,+0.0355%,-0.0790%
2025-05-09,-0.1274%,+0.0000%,+0.0299%,+0.4365%,+0.0380%,+0.0568%,-0.3728%
2025-05-12,+3.3047%,+0.0000%,+0.0000%,-0.5136%,-0.9122%,+0.2271%,+0.1134%
2025-05-13,+0.6604%,+0.0000%,+0.0199%,+0.0794%,-0.0767%,-0.0354%,-0.0340%
2025-05-14,+0.1278%,+0.0000%,+0.0100%,-0.2778%,+0.0384%,-0.3188%,+0.1008%
2025-05-15,+0.4884%,+0.0000%,+0.0000%,+0.3979%,-0.0384%,+0.3554%,-0.1573%
2025-05-16,+0.6334%,+0.0740%,+0.0398%,-0.1585%,-0.1919%,+0.1416%,+0.2267%
2025-05-19,+0.1094%,+0.0000%,+0.0099%,+0.1191%,+0.5769%,-0.0354%,-0.0113%
2025-05-20,-0.3362%,+0.0000%,+0.0199%,+0.1983%,+0.5354%,+0.0955%,+0.0792%
2025-05-21,-1.6851%,+0.0000%,+0.0099%,-0.1187%,+0.5706%,-0.1661%,+0.0565%
2025-05-22,+0.0395%,+0.0000%,+0.0199%,-0.1981%,+0.0756%,+0.1416%,-0.0226%
2025-05-23,-0.6826%,+0.0739%,+0.0298%,+0.5558%,+0.4913%,-0.0071%,+0.0113%
2025-05-27,+2.0791%,+0.0000%,+0.0099%,-0.2764%,-0.6769%,+0.2545%,+0.1921%
2025-05-29,+0.3947%,-0.0745%,+0.0000%,+0.1586%,+0.1136%,+0.0706%,+0.0339%
2025-05-30,-0.1119%,-0.1491%,+0.0298%,-0.1584%,+0.1135%,-0.0247%,+0.1467%
2025-06-05,-0.4833%,+0.0000%,+0.0100%,-0.1966%,+0.4523%,-0.1447%,+0.0338%
2025-06-06,+1.0269%,+0.0000%,+0.0299%,-0.2758%,-0.5629%,+0.0389%,-0.0338%
2025-06-09,+0.0901%,+0.0000%,+0.0100%,+0.0395%,-0.0755%,+0.1413%,-0.0450%
2025-06-10,+0.5670%,+0.0000%,+0.0100%,+0.0395%,-0.3776%,+0.0706%,-0.1014%
2025-06-11,-0.2852%,+0.0734%,+0.0199%,+0.5922%,-0.6444%,-0.0176%,+0.0676%
2025-06-12,+0.3974%,+0.0000%,+0.0099%,+0.5102%,+0.4960%,-0.1234%,+0.1014%
2025-06-13,-1.1180%,+0.0000%,+0.0398%,+0.3124%,-0.9871%,-0.0353%,+0.1913%
2025-06-16,+0.9514%,+0.0000%,+0.0000%,-0.2336%,-0.2684%,+0.0706%,-0.1797%
2025-06-17,-0.8545%,+0.0000%,+0.0099%,+0.0780%,-1.3841%,+0.1235%,+0.1576%
2025-06-18,-0.0151%,+0.0000%,+0.0199%,+0.0000%,-0.9357%,+0.0176%,-0.0674%
2025-06-20,-0.2342%,+0.0733%,+0.0398%,+0.0780%,-0.1968%,-0.2115%,+0.0562%
2025-06-23,+0.9877%,+0.0000%,+0.0199%,-0.0779%,+1.8139%,+0.3532%,-0.0225%
2025-06-25,+0.0560%,+0.0000%,+0.0099%,+0.0777%,+0.4237%,+0.1730%,-0.0562%
2025-07-07,-0.7452%,+0.0000%,+0.0199%,-0.3104%,-0.0759%,-0.2726%,-0.0225%
2025-08-18,-0.0218%,-0.0661%,+0.0298%,+0.1543%,+0.2624%,+0.0451%,-0.0224%
2025-09-11,+0.8310%,+0.0000%,+0.0199%,+0.7477%,-0.0559%,-0.0380%,-0.0603%
2025-09-12,-0.0335%,+0.0000%,+0.0298%,-0.0371%,+0.5035%,+0.1036%,+0.0492%
2025-09-15,+0.5324%,+0.0000%,+0.0000%,+0.8166%,+0.1113%,-0.0655%,-0.0190%
2025-09-16,-0.1377%,+0.0000%,+0.0199%,-0.1841%,+0.1816%,+0.0138%,-0.0112%
2025-09-17,-0.1242%,+0.0657%,+0.0099%,-0.1476%,-0.0333%,+0.0310%,-0.0089%
2025-09-18,+0.4672%,+0.0000%,+0.0199%,+0.2955%,+0.1110%,+0.0552%,-0.0056%
2025-09-19,+0.4939%,+0.0000%,+0.0398%,+0.0368%,-0.0739%,+0.0517%,+0.0112%
2025-09-22,+0.4731%,+0.0000%,+0.0000%,+0.4050%,+0.7399%,-0.0379%,+0.0112%
2025-09-23,-0.5444%,+0.0000%,+0.0199%,+0.1100%,+0.1102%,-0.0483%,+0.0346%
2025-10-07,-0.3707%,+0.0000%,+0.0199%,+0.2135%,+0.0000%,-0.1241%,+0.0558%
2025-10-08,+0.5963%,+0.0000%,+0.0100%,+1.2784%,+0.0372%,+0.3314%,-0.0257%
2025-10-09,-0.2897%,+0.0000%,+0.0100%,-1.1571%,+0.1116%,-0.2065%,+0.0257%
2025-10-10,-2.7028%,+0.0649%,+0.0498%,-3.5828%,+0.3717%,-0.2069%,+0.3683%
2025-10-13,+1.5344%,+0.0000%,-0.0100%,+2.9065%,+0.6296%,+0.2764%,-0.0834%
2025-10-14,-0.1222%,+0.0000%,+0.0100%,+0.1430%,-0.1840%,+0.0000%,+0.0835%
2025-10-15,+0.4440%,+0.0000%,+0.0199%,+0.6783%,+0.1475%,-0.1723%,+0.0667%
2025-10-16,-0.6810%,+0.0000%,+0.0099%,+0.6383%,+0.2393%,-0.2416%,+0.1778%
2025-10-17,+0.5676%,+0.0648%,+0.0298%,-0.5638%,-0.1837%,+0.0000%,+0.1553%
2025-10-20,+1.0400%,+0.0000%,+0.0099%,+1.7009%,-0.3496%,+0.3356%,-0.2215%
2025-10-21,-0.0015%,+0.0065%,+0.0199%,-0.9408%,-0.5908%,-0.1276%,-0.0999%
2025-10-22,-0.5199%,+0.0000%,+0.0099%,-0.2814%,-0.2229%,-0.0138%,+0.1000%
2025-10-23,+0.5930%,+0.0000%,+0.0099%,+0.1058%,-0.0372%,+0.3419%,-0.0444%
2025-10-24,+0.8173%,+0.0000%,+0.0298%,+0.4228%,+0.3724%,+0.0172%,-0.0333%
2025-10-27,+1.1798%,+0.0000%,+0.0099%,+0.2456%,+0.2597%,+0.0688%,-0.0778%
2025-10-29,+0.0480%,+0.0693%,+0.0099%,-0.3511%,-0.2973%,+0.0172%,-0.0222%
2025-11-06,-1.0729%,+0.0000%,+0.0100%,-0.4257%,+0.6381%,-0.2754%,+0.0777%
2025-11-13,-1.6594%,+0.0000%,+0.0100%,-1.0723%,-0.2994%,-0.1207%,-0.2822%
2025-11-18,-0.8398%,+0.0000%,+0.0000%,-0.0705%,+0.3391%,+0.0276%,+0.1668%
2026-01-27,+0.3984%,+0.0000%,+0.0000%,+1.9454%,+0.8725%,+0.0172%,-0.0111%
2026-02-06,+1.9185%,+0.0000%,+0.0299%,+3.2877%,+1.6259%,+0.2446%,-0.1249%
2026-02-11,-0.0231%,+0.0706%,+0.0000%,+0.3604%,-0.1490%,+0.1370%,-0.0144%
2026-02-12,-1.5449%,+0.0000%,+0.0199%,-1.5344%,-1.3433%,-0.2053%,+0.0554%
2026-02-13,+0.0705%,+0.0000%,+0.0398%,+0.7294%,+0.3404%,+0.0651%,+0.0886%
2026-02-17,+0.1613%,+0.0000%,+0.0000%,-0.6583%,+0.0000%,-0.0959%,-0.0664%
2026-02-18,+0.5038%,+0.0000%,+0.0199%,+1.2260%,+0.5654%,+0.0480%,+0.0221%
