date,sectors,n_stocks,top_stocks,equity
2016-01-29,Utilities(+12.15%),10,"NI, PPL, EVRG, AEE, XEL","$100,000"
2016-02-29,Utilities(+13.86%),10,"NI, PPL, EVRG, XEL, WEC","$102,034"
2016-03-31,Utilities(+11.09%),10,"NI, XEL, WEC, PPL, AEE","$110,656"
2016-04-29,Materials(+9.85%),10,"VMC, MLM, STLD, SHW, DD","$107,246"
2016-05-31,Utilities(+8.05%),10,"EVRG, NI, PNW, WEC, AEE","$107,845"
2016-06-30,Utilities(+11.94%),10,"EVRG, NI, PPL, WEC, PNW","$115,512"
2016-07-29,Materials(+5.71%),10,"NEM, VMC, STLD, MLM, NUE","$112,979"
2016-08-31,Information Technology(+2.92%),10,"ADBE, ACN, NVDA, KLAC, FICO","$108,128"
2016-09-30,Energy(+6.56%),10,"APA, OKE, TPL, HAL, XOM","$110,583"
2016-10-31,Information Technology(+6.66%),10,"ADBE, NVDA, HPE, GEN, NXPI","$105,935"
2016-11-30,Financials(+12.56%),10,"CINF, ALL, SPGI, ACGL, FIS","$108,852"
2016-12-30,Financials(+18.96%),10,"CINF, BAC, RF, KEY, FITB","$108,293"
2017-01-31,Financials(+14.03%),10,"BAC, RF, FITB, MS, KEY","$108,440"
2017-02-28,Financials(+9.65%),10,"BAC, RF, MS, KEY, RJF","$114,673"
2017-03-31,Financials(+5.18%),10,"BAC, RF, MS, KEY, RJF","$109,152"
2017-04-28,Information Technology(+3.00%),10,"NVDA, MU, STX, WDC, GEN","$107,523"
2017-05-31,Information Technology(+6.99%),10,"NVDA, MU, STX, WDC, GEN","$114,858"
2017-06-30,Health Care(+5.15%),10,"ALGN, IDXX, MTD, CI, INCY","$108,100"
2017-07-31,Health Care(+3.27%),10,"CI, ALGN, IDXX, ELV, PODD","$111,597"
2017-08-31,Information Technology(+4.26%),10,"DELL, ADBE, NVDA, WDC, MU","$116,615"
2017-09-29,Information Technology(+4.46%),10,"CTSH, DELL, ADBE, NVDA, MU","$119,763"
2017-10-31,Information Technology(+6.16%),10,"DELL, NVDA, CTSH, MU, LRCX","$131,796"
2017-11-30,Financials(+6.26%),10,"ALL, PYPL, BAC, GPN, MSCI","$126,854"
2017-12-29,Information Technology(+4.70%),10,"ADBE, FSLR, MU, NVDA, LRCX","$127,332"
2018-01-31,Consumer Discretionary(+5.64%),10,"BBY, NVR, DECK, DHI, WYNN","$136,605"
2018-02-28,Consumer Discretionary(+5.70%),10,"BBY, DECK, WYNN, MAR, NVR","$129,203"
2018-03-29,Consumer Discretionary(+5.61%),10,"DECK, BBY, LULU, MAR, WYNN","$130,315"
2018-04-30,Energy(+6.34%),10,"TPL, VLO, MPC, PSX, EOG","$134,079"
2018-05-31,Energy(+11.20%),10,"TPL, VLO, PSX, MPC, OXY","$143,040"
2018-06-29,Consumer Discretionary(+7.14%),10,"DECK, LULU, RL, WYNN, TSCO","$139,282"
2018-07-31,Consumer Discretionary(+1.97%),10,"DECK, LULU, RL, ROST, BBY","$139,409"
2018-08-31,Health Care(+4.56%),10,"ALGN, MOH, HCA, IDXX, ISRG","$154,491"
2018-09-28,Health Care(+6.45%),10,"ALGN, MOH, PODD, HCA, IDXX","$157,960"
2018-10-31,Consumer Staples(+7.94%),10,"KDP, TGT, KR, LW, MKC","$138,534"
2018-11-30,Health Care(+11.80%),10,"HCA, MOH, MRK, IDXX, ZTS","$136,683"
2018-12-31,Utilities(+12.78%),10,"NRG, VST, FE, EXC, AEE","$123,252"
2019-01-31,Real Estate(+6.88%),10,"O, DOC, WELL, EXR, UDR","$128,052"
2019-02-28,Utilities(+6.07%),10,"NRG, VST, EXC, AEE, FE","$126,485"
2019-03-29,Real Estate(+9.73%),10,"WELL, O, DOC, VTR, KIM","$128,730"
2019-04-30,Information Technology(+6.58%),10,"DELL, KEYS, VRSN, FICO, ZBRA","$124,407"
2019-05-31,Real Estate(+7.97%),10,"O, WELL, DOC, SBAC, UDR","$113,752"
2019-06-28,Information Technology(+5.00%),10,"DELL, WDAY, FICO, NOW, VRSN","$114,996"
2019-07-31,Information Technology(+6.31%),10,"WDAY, NOW, FICO, KEYS, ADBE","$119,405"
2019-08-30,Real Estate(+5.93%),10,"SBAC, WELL, EXR, DOC, ESS","$115,371"
2019-09-30,Utilities(+8.27%),10,"WEC, ETR, SO, XEL, NEE","$114,316"
2019-10-31,Utilities(+4.91%),10,"ETR, SO, WEC, ES, NEE","$113,570"
2019-11-29,Information Technology(+6.22%),10,"LRCX, KLAC, TER, KEYS, FICO","$110,416"
2019-12-31,Information Technology(+5.82%),10,"TER, FICO, LRCX, KLAC, EPAM","$114,394"
2020-01-31,Information Technology(+9.04%),10,"TER, QCOM, LRCX, KLAC, AAPL","$115,404"
2020-02-28,Information Technology(+7.74%),10,"LRCX, TER, AAPL, ADBE, QCOM","$108,046"
2020-03-31,Information Technology(+10.16%),10,"ADBE, LRCX, TYL, GEN, TDY","$96,982"
2020-04-30,Health Care(+10.25%),10,"CI, PODD, REGN, RMD, VRTX","$107,596"
2020-05-29,Information Technology(+10.28%),10,"NVDA, ADBE, GEN, MPWR, KLAC","$112,539"
2020-06-30,Information Technology(+14.59%),10,"NVDA, ADBE, FTNT, TYL, GEN","$122,630"
2020-07-31,Information Technology(+10.37%),10,"ADBE, NVDA, GEN, SWKS, AAPL","$133,067"
2020-08-31,Information Technology(+15.97%),10,"ADBE, NVDA, SWKS, MPWR, AAPL","$138,865"
2020-09-30,Consumer Discretionary(+14.46%),10,"BBY, DECK, TSLA, LULU, DPZ","$132,375"
2020-10-30,Consumer Discretionary(+8.19%),10,"DECK, BBY, TSLA, LULU, DPZ","$127,696"
2020-11-30,Industrials(+8.37%),10,"BLDR, GNRC, FDX, ROL, ODFL","$137,219"
2020-12-31,Financials(+8.95%),10,"PYPL, MSCI, KKR, ERIE, MS","$137,943"
2021-01-29,Energy(+12.51%),10,"EQT, WMB, TPL, CTRA, HAL","$132,142"
2021-02-26,Energy(+23.52%),10,"EQT, TPL, DVN, WMB, CTRA","$157,516"
2021-03-31,Energy(+35.68%),10,"APA, TRGP, DVN, HAL, TPL","$164,360"
2021-04-30,Energy(+32.23%),10,"TPL, TRGP, DVN, HAL, APA","$168,031"
2021-05-28,Financials(+12.14%),10,"CINF, IVZ, FITB, SYF, BAC","$179,476"
2021-06-30,Energy(+14.52%),10,"DVN, TPL, TRGP, APA, SLB","$171,150"
2021-07-30,Real Estate(+6.32%),10,"SPG, CBRE, KIM, REG, EXR","$152,675"
2021-08-31,Information Technology(+6.51%),10,"FTNT, IT, ON, STX, LRCX","$157,533"
2021-09-30,Real Estate(+2.98%),10,"SPG, CBRE, KIM, IRM, REG","$148,554"
2021-10-29,Energy(+8.37%),10,"DVN, APA, OXY, TRGP, TPL","$158,755"
2021-11-30,Consumer Discretionary(+10.85%),10,"DECK, TSLA, F, WSM, MGM","$147,618"
2021-12-31,Information Technology(+6.01%),10,"DELL, ACN, NVDA, FTNT, IT","$147,086"
2022-01-31,Energy(+24.48%),10,"DVN, APA, EOG, TRGP, OKE","$127,282"
2022-02-28,Energy(+42.44%),10,"APA, DVN, TRGP, EOG, EXE","$138,874"
2022-03-31,Energy(+42.08%),10,"APA, DVN, TRGP, OXY, EXE","$154,266"
2022-04-29,Energy(+33.33%),10,"APA, DVN, OXY, TRGP, EXE","$151,055"
2022-05-31,Energy(+49.12%),10,"DVN, APA, OXY, TRGP, EQT","$177,394"
2022-06-30,Energy(+31.38%),10,"APA, DVN, EQT, OXY, EXE","$140,902"
2022-07-29,Energy(+16.58%),10,"APA, DVN, OXY, EQT, VLO","$155,674"
2022-08-31,Utilities(+11.30%),10,"VST, EXC, SRE, EIX, NI","$165,382"
2022-09-30,Energy(+13.28%),10,"APA, DVN, EQT, OXY, EXE","$144,744"
2022-10-31,Energy(+26.18%),10,"EQT, DVN, OXY, EXE, MPC","$174,145"
2022-11-30,Energy(+10.53%),10,"OXY, DVN, EQT, APA, TPL","$178,550"
2022-12-30,Energy(+19.26%),10,"OXY, APA, TPL, EQT, MPC","$167,185"
2023-01-31,Materials(+10.24%),10,"CF, STLD, NUE, MOS, LIN","$166,718"
2023-02-28,Industrials(+4.69%),10,"PWR, URI, HUBB, EME, PCAR","$165,825"
2023-03-31,Information Technology(+13.18%),10,"SMCI, FSLR, FICO, JBL, ON","$162,491"
2023-04-28,Communication Services(+10.84%),10,"NFLX, TKO, OMC, T, TMUS","$150,987"
2023-05-31,Information Technology(+17.75%),10,"FSLR, SMCI, FICO, NVDA, MSI","$152,740"
2023-06-30,Information Technology(+15.17%),10,"SMCI, FSLR, NVDA, FICO, JBL","$162,293"
2023-07-31,Information Technology(+13.14%),10,"SMCI, NVDA, FSLR, JBL, FICO","$179,629"
2023-08-31,Communication Services(+6.87%),10,"NFLX, CMCSA, META, TKO, TTD","$173,641"
2023-09-29,Energy(+10.49%),10,"SLB, APA, HAL, MPC, PSX","$162,731"
2023-10-31,Energy(+5.87%),10,"MPC, TRGP, PSX, SLB, HAL","$157,665"
2023-11-30,Information Technology(+3.89%),10,"ADBE, DELL, SMCI, NVDA, PLTR","$157,596"
2023-12-29,Real Estate(+4.43%),10,"WELL, IRM, EQIX, INVH, HST","$159,691"
2024-01-31,Information Technology(+5.36%),10,"DELL, ADBE, SMCI, NVDA, PLTR","$152,218"
2024-02-29,Financials(+3.23%),10,"ALL, AIZ, KKR, ERIE, ACGL","$177,177"
2024-03-28,Financials(+2.99%),10,"ALL, AIZ, KKR, ERIE, HOOD","$180,695"
2024-04-30,Industrials(+3.78%),10,"BLDR, DAL, UBER, EME, URI","$171,586"
2024-05-31,Utilities(+7.56%),10,"VST, NRG, PEG, DUK, ETR","$171,834"
2024-06-28,Information Technology(+3.32%),10,"DELL, SMCI, NVDA, WDC, MU","$161,351"
2024-07-31,Utilities(+1.93%),10,"VST, NRG, PEG, SO, DUK","$149,574"
2024-08-30,Utilities(+6.33%),10,"VST, NRG, SO, PEG, DUK","$158,689"
2024-09-30,Utilities(+14.44%),10,"VST, NRG, PEG, NEE, EIX","$172,021"
2024-10-31,Utilities(+3.86%),10,"VST, NRG, D, PEG, NEE","$174,134"
2024-11-29,Consumer Discretionary(+11.63%),10,"DECK, RCL, DASH, NCLH, GRMN","$184,214"
2024-12-31,Consumer Discretionary(+11.61%),10,"DECK, RCL, DASH, WSM, TPR","$179,998"
2025-01-31,Consumer Discretionary(+14.06%),10,"DECK, TSLA, WSM, RCL, GRMN","$188,919"
2025-02-28,Communication Services(+8.14%),10,"TKO, FOX, FOXA, NFLX, T","$181,953"
2025-03-31,Energy(+13.74%),10,"TPL, TRGP, KMI, WMB, EQT","$170,877"
2025-04-30,Consumer Staples(+8.62%),10,"MO, PM, WMT, KVUE, KR","$152,722"
2025-05-30,Industrials(+3.38%),10,"ADP, GEV, HWM, PAYC, RSG","$154,100"
2025-06-30,Information Technology(+7.14%),10,"CTSH, PLTR, FTNT, CSCO, FFIV","$152,189"
2025-07-31,Information Technology(+9.24%),10,"PLTR, JBL, FTNT, ORCL, STX","$147,283"
2025-08-29,Information Technology(+6.49%),10,"PLTR, JBL, ORCL, WDC, STX","$141,620"
2025-09-30,Information Technology(+10.04%),10,"PLTR, JBL, STX, WDC, VRSN","$162,613"
2025-10-31,Information Technology(+12.53%),10,"PLTR, WDC, STX, LRCX, MU","$169,772"
2025-11-28,Health Care(+6.02%),10,"CAH, IDXX, HCA, GILD, MCK","$158,320"
2025-12-31,Health Care(+5.98%),10,"CAH, IDXX, HCA, INCY, JNJ","$149,043"
2026-01-30,Energy(+12.50%),10,"APA, VLO, XOM, MPC, EXE","$152,366"
2026-02-27,Energy(+22.66%),10,"APA, VLO, HAL, XOM, WMB","$165,433"
