ticker,market_cap
ABT,194151317504.0
ADBE,117961474048.0
AES,10094314496.0
ACN,129534615552.0
AMD,321517027328.0
AOS,9626361856.0
MMM,78515175424.0
A,32481304576.0
AKAM,14839440384.0
AFL,56493395968.0
APD,61174734848.0
ABNB,78788124672.0
LNT,18339284992.0
ALGN,12133283840.0
ARE,8642489344.0
ALLE,12813280256.0
ALL,53801779200.0
ALB,19332245504.0
GOOGL,3647003951104.0
MO,112168837120.0
AEE,30633363456.0
AMCR,19375886336.0
AMZN,2254225014784.0
GOOG,3643253719040.0
AXP,206004518912.0
AEP,71069196288.0
AIG,41579728896.0
AWK,26990526464.0
AME,51017781248.0
AMP,42083500032.0
AMGN,201622077440.0
AMT,87314022400.0
APH,165132730368.0
AON,72106483712.0
ADI,153751355392.0
APA,11878510592.0
AAPL,3789125058560.0
APP,171789287424.0
APO,62018154496.0
APTV,15503697920.0
ACGL,34754068480.0
AMAT,261073829888.0
ADM,32315109376.0
AIZ,10943223808.0
ARES,35689656320.0
ANET,170053861376.0
AJG,56533716992.0
T,197193039872.0
ATO,30566498304.0
ADSK,55180419072.0
ADP,90345758720.0
AZO,61052145664.0
BALL,16499973120.0
AXON,45131231232.0
BKR,58958188544.0
AVB,24801771520.0
BAC,345116704768.0
AVY,13519307776.0
BAX,8985568256.0
BBY,13583046656.0
BDX,59398279168.0
BRK-B,1063005126656.0
TECH,8409364480.0
BIIB,27312494592.0
BX,134891356160.0
BLK,147612024832.0
XYZ,39546839040.0
BK,79414116352.0
BA,176396812288.0
BKNG,141158498304.0
BSX,106654269440.0
AVGO,1640148762624.0
BR,22119211008.0
BLDR,10185067520.0
BMY,122493894656.0
BRO,24251119616.0
BG,22671525888.0
BF-B,11376423936.0
BXP,9044070400.0
CPB,7589006848.0
CPT,11117247488.0
CHRW,21152466944.0
CDNS,81311539200.0
COF,112781074432.0
CAH,51433021440.0
CARR,48236552192.0
CCL,34808557568.0
CAT,323504930816.0
CVNA,68221304832.0
CDW,15589389312.0
CBRE,39675101184.0
CBOE,31641042944.0
COR,69772320768.0
CRL,8573021184.0
SCHW,166196903936.0
CF,18263070720.0
CNC,21266636800.0
CNP,28364005376.0
CHTR,29316812800.0
CVX,380887040000.0
CMG,45691318272.0
CHD,24338384896.0
CINF,25253156864.0
CB,127246786560.0
CTAS,80586326016.0
CI,71325270016.0
CSCO,301824114688.0
CFG,24308918272.0
C,181366423552.0
CLX,13666803712.0
CME,114990473216.0
CMS,23594409984.0
CIEN,43947036672.0
CL,74543964160.0
COIN,53136031744.0
KO,333224116224.0
CTSH,31222401024.0
CMCSA,112468803584.0
FIX,46795120640.0
CAG,8998129664.0
ED,40659341312.0
CEG,115174473728.0
STZ,25625749504.0
COP,144481714176.0
ABBV,400954392576.0
COO,14574886912.0
CPRT,36145778688.0
CTVA,52348956672.0
CPAY,22737418240.0
CSGP,20504547328.0
COST,444907782144.0
GLW,107451047936.0
CRH,69497118720.0
CRWD,110320787456.0
CCI,38958530560.0
CTRA,23936071680.0
CMI,74377232384.0
CSX,74406445056.0
DHR,139051876352.0
CVS,98774466560.0
DDOG,45291929600.0
DVA,10173414400.0
DE,160224952320.0
DECK,14882004992.0
DRI,22979528704.0
DELL,96160317440.0
DAL,38332239872.0
FANG,52150693888.0
DXCM,26406051840.0
DLR,62046564352.0
DLTR,23150350336.0
D,55143796736.0
DG,31917236224.0
DVN,28054554624.0
DPZ,13785493504.0
DASH,75690106880.0
DOV,28352313344.0
DHI,41810628608.0
DOW,25418643456.0
DUK,102075891712.0
DTE,30831843328.0
EBAY,41706037248.0
ETN,134643294208.0
DD,18573176832.0
EW,48479375360.0
ECL,78900953088.0
EIX,26835316736.0
EA,49725411328.0
ELV,61488324608.0
EME,31528597504.0
ETR,47106412544.0
EMR,77378387968.0
EOG,72474877952.0
EQT,38982787072.0
EPAM,8021228032.0
EQR,24179263488.0
EFX,24761538560.0
EL,32390846464.0
EG,13246757888.0
EVRG,19005138944.0
ERIE,13115868160.0
ESS,17435367424.0
EXC,50218913792.0
EQIX,92002967552.0
EXPE,29126539264.0
EXE,25886085120.0
EXPD,19304374272.0
EXR,31998377984.0
ES,27636549632.0
XOM,631806361600.0
FDS,8335290880.0
FAST,53345607680.0
FFIV,16094299136.0
FIS,26337890304.0
FICO,34080167936.0
FDX,83465699328.0
FITB,41361932288.0
FSLR,20681510912.0
FE,29350320128.0
FISV,32954185728.0
FTV,17795780608.0
FTNT,62406950912.0
FRT,9180522496.0
F,48093126656.0
FOXA,25126017024.0
FOX,25098065920.0
BEN,13050408960.0
IT,12027153408.0
FCX,83630759936.0
GRMN,46104932352.0
GEHC,33985259520.0
GE,334049017856.0
GEV,222907383808.0
GEN,13891529728.0
GNRC,11870319616.0
GD,97426841600.0
GPC,15480215552.0
GIS,23360223232.0
GM,68448698368.0
GL,11147334656.0
GDDY,12545869824.0
GPN,20718295040.0
GS,244002340864.0
HAL,28977205248.0
HAS,13185070080.0
HIG,38156349440.0
DOC,11930430464.0
HSIC,9106603008.0
HCA,121129435136.0
HSY,45006131200.0
GILD,180086669312.0
HPE,28312121344.0
HD,346338525184.0
HOLX,16877315072.0
HON,158184177664.0
HST,13052471296.0
HRL,13116023808.0
HUBB,25364461568.0
HWM,100753801216.0
HPQ,17281058816.0
HBAN,32141762560.0
HII,16785863680.0
HUM,21249611776.0
IBM,238664089600.0
ITW,78623842304.0
IDXX,48065708032.0
IEX,14467647488.0
HLT,69414445056.0
IR,33562652672.0
INCY,19125291008.0
PODD,16627499008.0
IBKR,110653857792.0
ICE,94475739136.0
INTC,221785423872.0
IFF,18581073920.0
IP,19870081024.0
INTU,132171841536.0
ISRG,173017677824.0
INVH,15818996736.0
IVZ,10306541568.0
IQV,30492215296.0
JBHT,20161531904.0
JBL,25594781696.0
IRM,31225405440.0
JKHY,12348263424.0
J,15623084032.0
JCI,80786620416.0
JPM,769261109248.0
JNJ,584966864896.0
KVUE,34855772160.0
KEYS,47661613056.0
KEY,20926679040.0
KDP,37974720512.0
KMB,34209579008.0
KIM,15517901824.0
KMI,74341908480.0
KLAC,183150411776.0
KHC,29068154880.0
KR,49435791360.0
LHX,69396602880.0
LH,22290982912.0
KKR,82869567488.0
LRCX,257423327232.0
LW,6495219200.0
LDOS,22753107968.0
LII,17789792256.0
LVS,35895980032.0
LLY,895303483392.0
LEN,24004642816.0
LIN,223638634496.0
LMT,156028059648.0
LYV,38768144384.0
LOW,137895903232.0
LULU,19968043008.0
L,22308898816.0
MTB,31575771136.0
MRSH,88355217408.0
MPC,65134538752.0
LYB,22197512192.0
MAR,84734107648.0
MAS,12720352256.0
MLM,36314484736.0
MA,459832983552.0
MTCH,7220206592.0
MCK,114418360320.0
MKC,17303529472.0
MCD,234736615424.0
MDT,116454785024.0
META,1608696201216.0
MRK,286970544128.0
MET,45812736000.0
MTD,24836698112.0
MCHP,34362101760.0
MU,426888790016.0
MSFT,3027356090368.0
MRNA,21314881536.0
MAA,15726690304.0
MGM,9507083264.0
MOH,7546809856.0
